id,code_station,name,num_bases,address,latitude,longitude
154,154,Paseo de la Castellana con Raimundo Fernández,24,Paseo de la Castellana nº 67,40.4457414,-3.6917932
159,159,José Gutiérrez Abascal ,24,Calle José Gutiérrez Abascal nº 2,40.4396792,-3.6907784
162,162,Velázquez 130,24,Calle Velázquez nº 130,40.4379444,-3.682862
165,165,Pº Castellana - Glorieta de Emilio Castelar,12,Paseo de la Castellana nº 43,40.4355143,-3.6892368
167,167,Castellana 42,24,Paseo de la Castellana nº 42,40.4334087,-3.6879154
166,166,Diego de León 52,24,Calle Diego de León nº 52,40.4345973,-3.678492
170,170,Juan Bravo 50,24,Calle Juan Bravo nº 50,40.4323655,-3.6758555
171,171,Ortega y Gasset 87,24,Calle Ortega y Gasset nº 87,40.429887,-3.6712823
155,155,María Francisca 1,18,Calle María Francisca nº 1,40.4442258,-3.6787169
148,148,Doctor Arce 45,24,Avenida del Doctor Arce nº 45,40.4483269,-3.6797296
144,144,Serrano 210,24,Calle Serrano nº 210,40.4510188,-3.6817962
146,146,Paseo de la Habana 42,24,Paseo de la Habana nº 42,40.4498613,-3.6881689
147,147,Castellana frente a Hermanos Pinzón,24,Paseo de la Castellana nº 124,40.4488924,-3.6905604
145,145,Orense 12,24,Calle Orense nº 12,40.4480662,-3.695286
142,142,General Perón 1,24,Avenida del General Perón nº 1-4,40.4527164,-3.6990077
143,143,General Perón con Poeta Joan Maragall,24,Avenida del General Perón nº 36,40.4522938,-3.692651
141,141,Orense 36,24,Calle Orense nº 36,40.4548456,-3.6946218
139,139,San Germán,24,Calle del General Yagüe nº 57,40.4572824,-3.7009675
140,140,Sor Ángela de la Cruz,24,Calle Sor Ángela de la Cruz nº 2,40.4592351,-3.691533
137,137,Castellana 164,24,Paseo de la Castellana nº 164,40.4591366,-3.6894151
138,138,Alberto Alcocer,24,Avenida de Alberto Alcocer nº 22,40.4585318,-3.684715
173,173,Paseo de la Habana 63,24,Paseo de la Habana nº 63,40.4543852,-3.6835926
172,172,Colombia,24,Calle Colombia nº 7,40.4572466,-3.6763439
132,132,Paseo de la Florida,27,Paseo de la Florida nº 8,40.4220812,-3.7218482
133,133,Metro Pirámides,24,Paseo de los Olmos nº 28,40.4034076,-3.7108108
134,134,Paseo de la Esperanza,21,Paseo de la Esperanza nº 2,40.4035988,-3.7064516
136,136,Paseo de las Delicias,24,Paseo de las Delicias nº 92-94,40.3972616,-3.6945025
135,135,Entrada Matadero,27,Paseo de la Chopera nº 14,40.3919385,-3.6971829
174,174,Segovia 26,24,"Calle Segovia, 26",40.4138333,-3.7135833
175,175,Segovia 45,24,"Calle Segovia, 45",40.413736,-3.717487
