oid_bike_movement,geometry
5bb3f1172f38430d78000a0b,"LINESTRING (-3.70143809972222 40.4571425, -3.70143809972222 40.4571425, -3.70290579972222 40.4541235, -3.70290579972222 40.4541235, -3.70314979972222 40.45237099972221, -3.70314979972222 40.45237099972221, -3.70361949972222 40.44919, -3.70361949972222 40.44919, -3.70318509972222 40.44543829972221, -3.70318509972222 40.44543829972221, -3.7020176 40.442357, -3.7020176 40.442357, -3.70183209972222 40.4419364997222, -3.70183209972222 40.4419364997222, -3.7005086 40.4390617997222, -3.7005086 40.4390617997222, -3.6989983 40.4368162997222, -3.6989983 40.4368162997222, -3.70143809972222 40.4571425, -3.70143809972222 40.4571425, -3.70290579972222 40.4541235, -3.70290579972222 40.4541235, -3.70314979972222 40.45237099972221, -3.70314979972222 40.45237099972221, -3.70361949972222 40.44919, -3.70361949972222 40.44919, -3.70318509972222 40.44543829972221, -3.70318509972222 40.44543829972221, -3.7020176 40.442357, -3.7020176 40.442357, -3.70183209972222 40.4419364997222, -3.70183209972222 40.4419364997222, -3.7005086 40.4390617997222, -3.7005086 40.4390617997222, -3.6989983 40.4368162997222, -3.6989983 40.4368162997222)"
5baab7ff2f384333d4d99411,"LINESTRING (-3.7204233 40.4139022997222, -3.72345009972222 40.41403509972221, -3.7228851 40.416884, -3.72438709972222 40.4185969997222, -3.73058749972222 40.4177414997222, -3.73442179972222 40.4173708, -3.73424429972222 40.4165570997222, -3.73782149972222 40.417115, -3.74305999972222 40.41694929972221, -3.74598159972222 40.4162954997222, -3.744723 40.41662099972221, -3.74072849972222 40.41749049972221, -3.73665009972222 40.4172149997222, -3.7327585 40.4172714997222, -3.73062229972222 40.4178185997222, -3.727758 40.4183851, -3.7233828 40.4189385997222, -3.723587 40.4217061, -3.7225326 40.420313, -3.72303009972222 40.4165325, -3.72304799972222 40.414157, -3.72079329972222 40.41409829972221, -3.71653399972222 40.4139713, -3.7081753 40.4138158, -3.70359559972222 40.4143568, -3.7010798 40.41351459972221, -3.6978643 40.4118726, -3.6958988 40.4108001, -3.69369259972222 40.4098589997222, -3.69247609972222 40.409474, -3.6921053 40.4097883, -3.6887953 40.4097374997222, -3.6880711 40.4100891, -3.68602449972222 40.4114026, -3.68604049972222 40.4116362997222, -3.6861006 40.4114379997222, -3.6861313 40.41146799972221, -3.6860898 40.4113583, -3.6860938 40.4113856, -3.68600079972222 40.41145099972221, -3.68604909972222 40.4114410997222, -3.6860848 40.4114787997222, -3.6860428 40.41153449999999, -3.68604529972222 40.4115200997222, -3.68607599972222 40.41141509972221, -3.68671 40.41124929999999, -3.68713379972222 40.4105575997222, -3.68822409972222 40.4097865, -3.68358799972222 40.4108312997222, -3.67873379972222 40.4118945997222, -3.676774 40.4113802997222)"
5ba86af62f384322940b6f1f,"LINESTRING (-3.69813459972222 40.4384337997222, -3.69771779972222 40.4371961, -3.69563 40.4367124997222, -3.69273199972222 40.4365973, -3.6911341 40.4356452997222, -3.69108029972222 40.4331310997222, -3.6863898 40.4329935, -3.68568229972222 40.4312632997222, -3.68595549972222 40.4291905997222, -3.68596309972222 40.42801729999999)"
5ba86af42f384322940b6ca1,"LINESTRING (-3.67921859972222 40.4210854997222, -3.67774709972222 40.4196181, -3.6760115 40.4194267997222, -3.67484179972222 40.4193426, -3.68696149972222 40.4227344997222, -3.6869996 40.4227891, -3.68701599972222 40.4227641, -3.6868093 40.4225951, -3.6868165 40.42261729972221, -3.6884605 40.4217494997222, -3.68707209972222 40.4226779997222, -3.68710449972222 40.4227153, -3.6869958 40.4226432997222, -3.6871018 40.4225818, -3.68680449972222 40.4228189997222, -3.68694809972222 40.422792, -3.687400100000001 40.4228643, -3.687015 40.4227040997222, -3.68693179972222 40.42269459972221, -3.6868875 40.42271229999999, -3.6868386 40.4227378, -3.686857100000001 40.4226103, -3.68722049972222 40.4216559997222, -3.6879026 40.42026629999999, -3.68887259972222 40.4167586, -3.68881149972222 40.4145212997222, -3.68862079972222 40.4114549997222, -3.68903559972222 40.40966829972221, -3.69167999972222 40.4093011, -3.6915301 40.4080768, -3.69286609972222 40.40775379999999, -3.6941795 40.407659, -3.6952346 40.4072358, -3.69616599972222 40.40679049972221, -3.697143 40.40662329972221, -3.69807249972222 40.4063821, -3.7004953 40.4057016, -3.70140609972222 40.40535560000001, -3.7035985 40.4048676, -3.70512409972222 40.4043581, -3.7091753 40.4031294997222, -3.71054009972222 40.402867)"
5bb542502f38433b747b3f84,"LINESTRING (-3.7170738 40.41380399972221, -3.7170738 40.41380399972221, -3.7112381 40.41355049972221, -3.7112381 40.41355049972221)"
5baab7eb2f384333d4d981e7,"LINESTRING (-3.6977836 40.39288249972221, -3.69978549972222 40.3937803, -3.70366179972222 40.394925, -3.70751309972222 40.39639999972221, -3.71134809972222 40.3985295, -3.714839 40.40063909972221, -3.712032 40.4059406, -3.71225499972222 40.40735959972221, -3.7140108 40.41049779999999)"
5b9ed9f12f38433fbce4353b,"LINESTRING (-3.68695459972222 40.40055029972221, -3.68003979972222 40.4052555997222, -3.67796259972222 40.4087286, -3.676518799999999 40.4109101, -3.67777449972222 40.4154203, -3.678547 40.4184770997222, -3.6779955 40.41847729972221, -3.6761683 40.4194693, -3.675554 40.421719)"
5bad5ab22f38431554d0f608,"LINESTRING (-3.71484929972222 40.399706, -3.71485229972222 40.3996959997222, -3.71480399972222 40.399742, -3.71484799972222 40.3997840997222, -3.71322999972222 40.4001645997222, -3.71146349972222 40.3986865997222, -3.71042 40.3990255, -3.7109185 40.3979544997222, -3.70967299972222 40.3971859997222, -3.70760099972222 40.3965213, -3.7065983 40.3971421, -3.70567359972222 40.396217, -3.70384009972222 40.39509, -3.7013595 40.39469749972221, -3.70017379972222 40.39407379999999, -3.6999943 40.3929301, -3.70026099972222 40.3919769997222, -3.6985838 40.3901891, -3.69718549972222 40.3882861, -3.69659279972222 40.38746879999999, -3.6981313 40.3884230997222, -3.70033879972222 40.3906246, -3.7013978 40.3920377997222, -3.70340779972222 40.3940161, -3.70618749972222 40.3952609997222, -3.70936699972222 40.3960756, -3.710213 40.3965815, -3.71224929972222 40.39752359972221, -3.712931 40.39839179972221, -3.7129511 40.3983775, -3.71515899972222 40.3993692997222, -3.718386799999999 40.3994031, -3.72132329972222 40.4003681, -3.7222026 40.4014907997222, -3.7234283 40.4020403, -3.72344249972222 40.40206629999999, -3.72388479972222 40.4017136, -3.7225733 40.4018732997222, -3.72252379972222 40.4020599997222, -3.72277259972222 40.4026245, -3.72300329972222 40.40476999972221, -3.72221929972222 40.4079521, -3.7228851 40.4112006, -3.72396729972222 40.4141896, -3.7229101 40.41679859972221, -3.7214456 40.41882209972221, -3.720867 40.4201513, -3.7202953 40.4207328, -3.71873649972222 40.4203898, -3.714612600000001 40.420883, -3.7136303 40.4220753, -3.71498559972222 40.4237614997222, -3.71587909972222 40.42501779972221, -3.7156796 40.4256231, -3.7170081 40.4270734997222, -3.7173625 40.42785849972221, -3.7152598 40.4291089997222, -3.7165531 40.43099229972221, -3.717702 40.4326646, -3.71484929972222 40.399706, -3.71485229972222 40.3996959997222, -3.71480399972222 40.399742, -3.71484799972222 40.3997840997222, -3.71322999972222 40.4001645997222, -3.71146349972222 40.3986865997222, -3.71042 40.3990255, -3.7109185 40.3979544997222, -3.70967299972222 40.3971859997222, -3.70760099972222 40.3965213, -3.7065983 40.3971421, -3.70567359972222 40.396217, -3.70384009972222 40.39509, -3.7013595 40.39469749972221, -3.70017379972222 40.39407379999999, -3.6999943 40.3929301, -3.70026099972222 40.3919769997222, -3.6985838 40.3901891, -3.69718549972222 40.3882861, -3.69659279972222 40.38746879999999, -3.6981313 40.3884230997222, -3.70033879972222 40.3906246, -3.7013978 40.3920377997222, -3.70340779972222 40.3940161, -3.70618749972222 40.3952609997222, -3.70936699972222 40.3960756, -3.710213 40.3965815, -3.71224929972222 40.39752359972221, -3.712931 40.39839179972221, -3.7129511 40.3983775, -3.71515899972222 40.3993692997222, -3.718386799999999 40.3994031, -3.72132329972222 40.4003681, -3.7222026 40.4014907997222, -3.7234283 40.4020403, -3.72344249972222 40.40206629999999, -3.72388479972222 40.4017136, -3.7225733 40.4018732997222, -3.72252379972222 40.4020599997222, -3.72277259972222 40.4026245, -3.72300329972222 40.40476999972221, -3.72221929972222 40.4079521, -3.7228851 40.4112006, -3.72396729972222 40.4141896, -3.7229101 40.41679859972221, -3.7214456 40.41882209972221, -3.720867 40.4201513, -3.7202953 40.4207328, -3.71873649972222 40.4203898, -3.714612600000001 40.420883, -3.7136303 40.4220753, -3.71498559972222 40.4237614997222, -3.71587909972222 40.42501779972221, -3.7156796 40.4256231, -3.7170081 40.4270734997222, -3.7173625 40.42785849972221, -3.7152598 40.4291089997222, -3.7165531 40.43099229972221, -3.717702 40.4326646)"
5b9c8c7d2f38433e5487aecc,"LINESTRING (-3.6978395 40.4382367997222, -3.6979551 40.4356426, -3.6949003 40.4348716, -3.6914538 40.4353265, -3.6875276 40.4361524997222, -3.6818178 40.4348025, -3.679158 40.4344815997222, -3.675399 40.43446409972221, -3.67509009972222 40.4334357997222)"
5ba86af52f384322940b6e3b,"LINESTRING (-3.678437600000001 40.4433875, -3.6788691 40.4411446, -3.67903899972222 40.4377385, -3.6789798 40.4372649997222, -3.67932849972222 40.4340000997222, -3.67969929972222 40.4305610997222, -3.68127449972222 40.4300848, -3.685424299999999 40.43021829972221, -3.68751249972222 40.4274837997222, -3.68753529972222 40.4251341, -3.68834049972222 40.423183, -3.6885561 40.42221599972221)"
5b9c8c4b2f38433e54878743,"LINESTRING (-3.68578459972222 40.430449, -3.6884866 40.43032829972221, -3.69240449972222 40.42951179999999, -3.69505609972222 40.4297639997222, -3.69773249972222 40.4309796)"
5b9991f62f38431f042d56a6,"LINESTRING (-3.7164345 40.43892529999999, -3.7165465 40.43812009972221, -3.7165498 40.43780579972221, -3.7165658 40.43725379999999, -3.71642129972222 40.4368403, -3.7149445 40.43640729972221, -3.7127568 40.4361435, -3.71146159972222 40.4345555, -3.71185909972222 40.4310965997222, -3.71256379972222 40.4294148, -3.71381309972222 40.4276217997222, -3.71349259972222 40.4257770997222, -3.71440379972222 40.4232615997222, -3.71289049972222 40.4218012997222, -3.71281609972222 40.42019009972221, -3.71314499972222 40.4172293, -3.71359409972222 40.4148185997222, -3.7136778 40.41362709972221, -3.7138251 40.4102244997222, -3.7122738 40.4076888)"
5ba41ff82f38433020d975a6,"LINESTRING (-3.7091403 40.4289144997222, -3.706046 40.4286783, -3.7049625 40.43159909972221, -3.7036228 40.4339031, -3.7022761 40.43620629999999, -3.69918749972222 40.43685079999999, -3.6951998 40.4371031, -3.69132099972222 40.4366281, -3.6919366 40.4405022997222, -3.6917298 40.44428079999999)"
5b983fc62f384329345ac377,"LINESTRING (-3.6986978 40.429509, -3.6967956 40.4279178, -3.6962461 40.427334, -3.6978588 40.42519479972221, -3.700641000000001 40.4207487997222, -3.69986479972222 40.4198050997222, -3.6984493 40.41803649972221, -3.69844429972222 40.4170573)"
5ba6c4112f38432ca85eac21,"LINESTRING (-3.6724535 40.4213402997222, -3.6754098 40.4213998, -3.6781893 40.4214710997222, -3.68034009972222 40.4214654997222, -3.6808081 40.4192212997222, -3.68074449972222 40.4161331, -3.68539029972222 40.4152391, -3.68716549972222 40.41374829999999)"
5ba86ade2f384322940b57d5,"LINESTRING (-3.69271059972222 40.44151529972221, -3.6916033 40.44375649972221, -3.69154429972222 40.4467305, -3.69185279972222 40.45026679999999, -3.6909353 40.4519261, -3.68722279972222 40.4519376, -3.683316 40.4543158, -3.67941109972222 40.4568595)"
5b9d87b42f38432604cbc274,"LINESTRING (-3.6981568 40.39328929972221, -3.6986848 40.3933121, -3.6993838 40.393439, -3.7005435 40.3942977997222, -3.70253109972222 40.39509209972221, -3.70456049972222 40.3953198, -3.7061321 40.3962846, -3.707167 40.396849, -3.70787179972222 40.3975366, -3.7081658 40.3974436, -3.70822759972222 40.3973609997222, -3.7084678 40.3971512997222, -3.70848079972222 40.3967491, -3.70630929972222 40.3962605997222, -3.7058165 40.3961437997222, -3.70512599972222 40.39566429972221, -3.7031073 40.394975, -3.70108529972222 40.39443299972221, -3.69957609972222 40.3935645997222, -3.697999299999999 40.3931631)"
5b9d87cb2f38432604cbd5f5,"LINESTRING (-3.6994335 40.4186953, -3.6984108 40.4166882997222, -3.6985548 40.4146343, -3.6988321 40.4121615, -3.700982 40.4099294997222, -3.70042999972222 40.4074889997222, -3.6992585 40.4056642997222, -3.69956759972222 40.4036405)"
5ba86af42f384322940b6cc3,"LINESTRING (-3.6975863 40.39288029999999, -3.6982746 40.3957166, -3.69889549972222 40.4001456, -3.69777749972222 40.40258779972221, -3.6951716 40.4056063, -3.69274399972222 40.4084557997222, -3.69275999972222 40.41038529999999, -3.69322579972222 40.4120325, -3.6941636 40.4144897997222, -3.69430579972222 40.4174240997222, -3.6940553 40.4193651, -3.6957023 40.420371, -3.696035 40.4225713, -3.69729509972222 40.4219859997222, -3.6986131 40.4216084997222)"
5b9c8c3e2f38433e54877d5f,"LINESTRING (-3.7043156 40.429509, -3.70744849972222 40.4295485, -3.71002549972222 40.4289910997222, -3.7152105 40.430911)"
5b96ef1a2f384332ac015558,"LINESTRING (-3.69136249972222 40.4459270997222, -3.6914418 40.4423170997222, -3.6914481 40.4408742997222, -3.6901016 40.4377667997222, -3.68912329972222 40.4361177997222, -3.6865116 40.4352591, -3.6864436 40.4347271, -3.685166 40.4329504997222, -3.6837338 40.4304611)"
